R00,"Abnormalities of heart beat"
R01,"Cardiac murmurs and other cardiac sounds"
R03,"Abnormal blood-pressure reading, without diagnosis"
R04,"Hemorrhage from respiratory passages"
R048,"Hemorrhage from other sites in respiratory passages"
R049,"Hemorrhage from respiratory passages, unspecified"
R05,"Cough"
R06,"Abnormalities of breathing"
R060,"Dyspnea"
R061,"Stridor"
R062,"Wheezing"
R063,"Periodic breathing"
R064,"Hyperventilation"
R065,"Mouth breathing"
R066,"Hiccough"
R067,"Sneezing"
R068,"Other abnormalities of breathing"
R069,"Unspecified abnormalities of breathing"
R07,"Pain in throat and chest"
R078,"Other chest pain"
R079,"Chest pain, unspecified"
R09,"Other symptoms and signs involving the circulatory and respiratory system"
R090,"Asphyxia and hypoxemia"
R091,"Pleurisy"
R092,"Respiratory arrest"
R093,"Abnormal sputum"
R098,"Other specified symptoms and signs involving the circulatory and respiratory systems"
R10,"Abdominal and pelvic pain"
R101,"Pain localized to upper abdomen"
R102,"Pelvic and perineal pain"
R103,"Pain localized to other parts of lower abdomen"
R108,"Other abdominal pain"
R1081,"Abdominal tenderness"
R1082,"Rebound abdominal tenderness"
R1083,"Colic"
R1084,"Generalized abdominal pain"
R109,"Unspecified abdominal pain"
R11,"Nausea and vomiting"
R111,"Vomiting"
R112,"Nausea with vomiting, unspecified"
R12,"Heartburn"
R13,"Aphagia and dysphagia"
R131,"Dysphagia"
R14,"Flatulence and related conditions"
R15,"Fecal incontinence"
R16,"Hepatomegaly and splenomegaly, not elsewhere classified"
R17,"Unspecified jaundice"
R18,"Ascites"
R19,"Other symptoms and signs involving the digestive system and abdomen"
R190,"Intra-abdominal and pelvic swelling, mass and lump"
R191,"Abnormal bowel sounds"
R192,"Visible peristalsis"
R193,"Abdominal rigidity"
R194,"Change in bowel habit"
R195,"Other fecal abnormalities"
R196,"Halitosis"
R197,"Diarrhea, unspecified"
R198,"Other specified symptoms and signs involving the digestive system and abdomen"
R20,"Disturbances of skin sensation"
R21,"Rash and other nonspecific skin eruption"
R22,"Localized swelling, mass and lump of skin and subcutaneous tissue"
R223,"Localized swelling, mass and lump, upper limb"
R224,"Localized swelling, mass and lump, lower limb"
R229,"Localized swelling, mass and lump, unspecified"
R23,"Other skin changes"
R25,"Abnormal involuntary movements"
R26,"Abnormalities of gait and mobility"
R268,"Other abnormalities of gait and mobility"
R269,"Unspecified abnormalities of gait and mobility"
R27,"Other lack of coordination"
R29,"Other symptoms and signs involving the nervous and musculoskeletal systems"
R297,"National Institutes of Health Stroke Scale (NIHSS) score"
R2970,"NIHSS score 0-9"
R2971,"NIHSS score 10-19"
R2972,"NIHSS score 20-29"
R2973,"NIHSS score 30-39"
R2974,"NIHSS score 40-42"
R298,"Other symptoms and signs involving the nervous and musculoskeletal systems"
R2981,"Other symptoms and signs involving the nervous system"
R2989,"Other symptoms and signs involving the musculoskeletal system"
R299,"Unspecified symptoms and signs involving the nervous and musculoskeletal systems"
R30,"Pain associated with micturition"
R31,"Hematuria"
R312,"Other microscopic hematuria"
R319,"Hematuria, unspecified"
R32,"Unspecified urinary incontinence"
R33,"Retention of urine"
R34,"Anuria and oliguria"
R35,"Polyuria"
R36,"Urethral discharge"
R37,"Sexual dysfunction, unspecified"
R39,"Other and unspecified symptoms and signs involving the genitourinary system"
R391,"Other difficulties with micturition"
R3919,"Other difficulties with micturition"
R392,"Extrarenal uremia"
R398,"Other symptoms and signs involving the genitourinary system"
R399,"Unspecified symptoms and signs involving the genitourinary system"
R40,"Somnolence, stupor and coma"
R402,"Coma"
R4021,"Coma scale, eyes open"
R40211,"Coma scale, eyes open, never"
R40212,"Coma scale, eyes open, to pain"
R40213,"Coma scale, eyes open, to sound"
R40214,"Coma scale, eyes open, spontaneous"
R4022,"Coma scale, best verbal response"
R40221,"Coma scale, best verbal response, none"
R40222,"Coma scale, best verbal response, incomprehensible words"
R40223,"Coma scale, best verbal response, inappropriate words"
R40224,"Coma scale, best verbal response, confused conversation"
R40225,"Coma scale, best verbal response, oriented"
R4023,"Coma scale, best motor response"
R40231,"Coma scale, best motor response, none"
R40232,"Coma scale, best motor response, extension"
R40233,"Coma scale, best motor response, abnormal"
R40234,"Coma scale, best motor response, flexion withdrawal"
R40235,"Coma scale, best motor response, localizes pain"
R40236,"Coma scale, best motor response, obeys commands"
R4024,"Glasgow coma scale, total score"
R40241,"Glasgow coma scale score 13-15"
R40242,"Glasgow coma scale score 9-12"
R40243,"Glasgow coma scale score 3-8"
R40244,"Other coma, without documented Glasgow coma scale score, or with partial score reported"
R403,"Persistent vegetative state"
R404,"Transient alteration of awareness"
R41,"Other symptoms and signs involving cognitive functions and awareness"
R418,"Other symptoms and signs involving cognitive functions and awareness"
R4184,"Other specified cognitive deficit"
R4189,"Other symptoms and signs involving cognitive functions and awareness"
R419,"Unspecified symptoms and signs involving cognitive functions and awareness"
R42,"Dizziness and giddiness"
R43,"Disturbances of smell and taste"
R44,"Other symptoms and signs involving general sensations and perceptions"
R45,"Symptoms and signs involving emotional state"
R458,"Other symptoms and signs involving emotional state"
R4585,"Homicidal and suicidal ideations"
R4586,"Emotional lability"
R4587,"Impulsiveness"
R4589,"Other symptoms and signs involving emotional state"
R46,"Symptoms and signs involving appearance and behavior"
R468,"Other symptoms and signs involving appearance and behavior"
R47,"Speech disturbances, not elsewhere classified"
R470,"Dysphasia and aphasia"
R471,"Dysarthria and anarthria"
R478,"Other speech disturbances"
R479,"Unspecified speech disturbances"
R48,"Dyslexia and other symbolic dysfunctions, not elsewhere classified"
R49,"Voice and resonance disorders"
R492,"Hypernasality and hyponasality"
R498,"Other voice and resonance disorders"
R499,"Unspecified voice and resonance disorder"
R50,"Fever of other and unknown origin"
R508,"Other specified fever"
R509,"Fever, unspecified"
R51,"Headache"
R52,"Pain, unspecified"
R53,"Malaise and fatigue"
R538,"Other malaise and fatigue"
R54,"Age-related physical debility"
R55,"Syncope and collapse"
R56,"Convulsions, not elsewhere classified"
R560,"Febrile convulsions"
R561,"Post traumatic seizures"
R569,"Unspecified convulsions"
R57,"Shock, not elsewhere classified"
R58,"Hemorrhage, not elsewhere classified"
R59,"Enlarged lymph nodes"
R60,"Edema, not elsewhere classified"
R61,"Generalized hyperhidrosis"
R62,"Lack of expected normal physiological development in childhood and adults"
R625,"Other and unspecified lack of expected normal physiological development in childhood"
R627,"Adult failure to thrive"
R63,"Symptoms and signs concerning food and fluid intake"
R64,"Cachexia"
R65,"Symptoms and signs specifically associated with systemic inflammation and infection"
R651,"Systemic inflammatory response syndrome (SIRS) of non-infectious origin"
R652,"Severe sepsis"
R68,"Other general symptoms and signs"
R681,"Nonspecific symptoms peculiar to infancy"
R682,"Dry mouth, unspecified"
R683,"Clubbing of fingers"
R688,"Other general symptoms and signs"
R69,"Illness, unspecified"
R70,"Elevated erythrocyte sedimentation rate and abnormality of plasma viscosity"
R71,"Abnormality of red blood cells"
R73,"Elevated blood glucose level"
R730,"Abnormal glucose"
R739,"Hyperglycemia, unspecified"
R74,"Abnormal serum enzyme levels"
R75,"Inconclusive laboratory evidence of human immunodeficiency virus [HIV]"
R76,"Other abnormal immunological findings in serum"
R761,"Nonspecific reaction to test for tuberculosis"
R768,"Other specified abnormal immunological findings in serum"
R769,"Abnormal immunological finding in serum, unspecified"
R77,"Other abnormalities of plasma proteins"
R78,"Findings of drugs and other substances, not normally found in blood"
R787,"Finding of abnormal level of heavy metals in blood"
R788,"Finding of other specified substances, not normally found in blood"
R789,"Finding of unspecified substance, not normally found in blood"
R79,"Other abnormal findings of blood chemistry"
R798,"Other specified abnormal findings of blood chemistry"
R799,"Abnormal finding of blood chemistry, unspecified"
R80,"Proteinuria"
R81,"Glycosuria"
R82,"Other and unspecified abnormal findings in urine"
R827,"Abnormal findings on microbiological examination of urine"
R828,"Abnormal findings on cytological and histological examination of urine"
R829,"Other and unspecified abnormal findings in urine"
R83,"Abnormal findings in cerebrospinal fluid"
R84,"Abnormal findings in specimens from respiratory organs and thorax"
R85,"Abnormal findings in specimens from digestive organs and abdominal cavity"
R856,"Abnormal cytological findings in specimens from digestive organs and abdominal cavity"
R8561,"Abnormal cytologic smear of anus"
R8569,"Abnormal cytological findings in specimens from other digestive organs and abdominal cavity"
R857,"Abnormal histological findings in specimens from digestive organs and abdominal cavity"
R858,"Other abnormal findings in specimens from digestive organs and abdominal cavity"
R859,"Unspecified abnormal finding in specimens from digestive organs and abdominal cavity"
R86,"Abnormal findings in specimens from male genital organs"
R87,"Abnormal findings in specimens from female genital organs"
R876,"Abnormal cytological findings in specimens from female genital organs"
R8761,"Abnormal cytological findings in specimens from cervix uteri"
R8762,"Abnormal cytological findings in specimens from vagina"
R8769,"Abnormal cytological findings in specimens from other female genital organs"
R877,"Abnormal histological findings in specimens from female genital organs"
R878,"Other abnormal findings in specimens from female genital organs"
R8781,"High risk human papillomavirus (HPV) DNA test positive from female genital organs"
R8782,"Low risk human papillomavirus (HPV) DNA test positive from female genital organs"
R8789,"Other abnormal findings in specimens from female genital organs"
R879,"Unspecified abnormal finding in specimens from female genital organs"
R88,"Abnormal findings in other body fluids and substances"
R89,"Abnormal findings in specimens from other organs, systems and tissues"
R90,"Abnormal findings on diagnostic imaging of central nervous system"
R908,"Other abnormal findings on diagnostic imaging of central nervous system"
R91,"Abnormal findings on diagnostic imaging of lung"
R92,"Abnormal and inconclusive findings on diagnostic imaging of breast"
R93,"Abnormal findings on diagnostic imaging of other body structures"
R934,"Abnormal findings on diagnostic imaging of urinary organs"
R9342,"Abnormal radiologic findings on diagnostic imaging of kidney"
R9349,"Abnormal radiologic findings on diagnostic imaging of other urinary organs"
R935,"Abnormal findings on diagnostic imaging of other abdominal regions, including retroperitoneum"
R936,"Abnormal findings on diagnostic imaging of limbs"
R937,"Abnormal findings on diagnostic imaging of other parts of musculoskeletal system"
R938,"Abnormal findings on diagnostic imaging of other specified body structures"
R939,"Diagnostic imaging inconclusive due to excess body fat of patient"
R94,"Abnormal results of function studies"
R940,"Abnormal results of function studies of central nervous system"
R941,"Abnormal results of function studies of peripheral nervous system and special senses"
R9411,"Abnormal results of function studies of eye"
R9412,"Abnormal results of function studies of ear and other special senses"
R9413,"Abnormal results of function studies of peripheral nervous system"
R942,"Abnormal results of pulmonary function studies"
R943,"Abnormal results of cardiovascular function studies"
R944,"Abnormal results of kidney function studies"
R945,"Abnormal results of liver function studies"
R946,"Abnormal results of thyroid function studies"
R947,"Abnormal results of other endocrine function studies"
R948,"Abnormal results of function studies of other organs and systems"
R97,"Abnormal tumor markers"
R972,"Elevated prostate specific antigen [PSA]"
R978,"Other abnormal tumor markers"
R99,"Ill-defined and unknown cause of mortality"